Deposit Name,Location,Age of Deposit,Ore Genesis,Remote Sensing Data & Results,Geophysical Data,Type of Deposit,Main/By-Product/Co-Product,Mineralogy,Pathfinder Elements,Geometry of Ore Body,Ore Body Characterization,Host Rocks,Tectonic Settings,Stratigraphy,Control of Mineralization,Geochemical Results,Geological Features,Mineral
Koniambo,New Caledonia,"Tertiary-Recent (37 Ma rocks, recent weathering)",Lateritic,ASTER/Landsat mapped laterite distribution,Magnetic surveys mapped ultramafic rocks,Ni-Co laterite,Main: Ni; Co-product: Co,"Serpentine, goethite, asbolane, lithiophorite","Co, Mn, Fe, Cr","Blanket-like, 20-30 m thick",62 Mt at 2.1% Ni,Weathered peridotite,Ophiolite,Laterite profile over ultramafics,Intense weathering; water table,Ni: 1.5-2.5%; Co: 0.08-0.12%,Tropical weathering of obducted ophiolite,Nickel
Moa Bay,Cuba,"Cretaceous-Recent (90 Ma rocks, recent weathering)",Lateritic,ASTER/Landsat mapped laterite distribution,Magnetic surveys mapped ultramafic rocks,Ni-Co laterite,Main: Ni; Co-product: Co,"Serpentine, goethite, asbolane, lithiophorite","Co, Mn, Fe, Cr","Blanket-like, 10-20 m thick","180 Mt at 1.3% Ni, 0.13% Co",Weathered peridotite,Ophiolite,Laterite profile over ultramafics,Intense weathering; water table,Ni: 1.0-1.5%; Co: 0.1-0.15%,Tropical weathering of obducted ophiolite,Nickel
Eagle,USA,Mesoproterozoic (1.1 Ga),Magmatic,ASTER/Landsat mapped intrusion,Electromagnetic surveys detected massive sulfides; magnetics mapped intrusions,Magmatic sulfide,"Main: Ni, Cu; By-product: Co, PGE","Pentlandite, chalcopyrite, pyrrhotite","Cu, Co, Pt, Pd","Pipe-like, 300 m depth","4.5 Mt at 3.3% Ni, 2.5% Cu","Gabbro, peridotite",Midcontinent Rift,Duluth Complex,Magma conduit; sulfide segregation,Ni: 3.0-3.6%; Cu: 2.2-2.8%; Co: 0.08-0.1%,Conduit-style magmatic deposit,Nickel
Sorowako,Indonesia,"Tertiary-Recent (30 Ma rocks, recent weathering)",Lateritic,ASTER/Landsat mapped laterite distribution,Magnetic surveys mapped ultramafic rocks,Ni-Co laterite,Main: Ni; Co-product: Co,"Serpentine, goethite, asbolane, lithiophorite","Co, Mn, Fe, Cr","Blanket-like, 20-30 m thick","150 Mt at 1.8% Ni, 0.08% Co",Weathered peridotite,Ophiolite,Laterite profile over ultramafics,Intense weathering; water table,Ni: 1.5-2.0%; Co: 0.07-0.1%,Tropical weathering of ophiolite complex,Nickel
Turnagain,Canada,"Alaskan-type (Jurassic, 180 Ma)",Magmatic,ASTER/Landsat mapped intrusion,Magnetic surveys mapped ultramafic complex,Magmatic sulfide,Main: Ni; By-product: Co,"Pentlandite, pyrrhotite","Cu, Co, Pt, Pd","Disseminated, intrusion-hosted","865 Mt at 0.21% Ni, 0.013% Co",Hornblende pyroxenite,Intermontane Belt,Alaskan-type intrusion,Magma chamber processes,Ni: 0.2-0.25%; Cu: 0.01-0.02%; Co: 0.01-0.02%,"Low-grade, high-tonnage in Alaskan-type intrusion",Nickel
Dumont,Canada,Archean (2.7 Ga),Magmatic,ASTER/Landsat mapped ultramafic unit,Magnetic surveys mapped intrusion; gravity defined geometry,Magmatic sulfide,Main: Ni; By-product: Co,"Pentlandite, awaruite, heazlewoodite","Cu, Co, Pt, Pd","Sill-like, disseminated","1,174 Mt at 0.27% Ni, 0.01% Co","Dunite, peridotite",Abitibi greenstone belt,Komatiitic sequence,Olivine cumulate zone,Ni: 0.25-0.35%; Co: 0.01-0.02%,"Low-grade, high-tonnage; disseminated sulfides",Nickel
Black Thor,Canada,Neoarchean (2.7-2.8 Ga),Magmatic,ASTER/Landsat mapped ultramafic complex,Magnetic surveys mapped ultramafic intrusion,Magmatic sulfide,"Main: Ni, Cr; By-product: PGE","Pentlandite, chromite, pyrrhotite","Cr, Cu, Co, Pt, Pd","Stratiform, lens-shaped","137 Mt at 0.4% Ni, 30% Cr₂O₃","Pyroxenite, peridotite",Superior Province,Ring of Fire complex,Chromite-rich layers,Ni: 0.3-0.5%; Cr₂O₃: 25-35%; PGE: 0.5-1.0 g/t,Chromite-rich magmatic deposit,Nickel
Kevitsa,Finland,Paleoproterozoic (2.06 Ga),Magmatic,ASTER/Landsat mapped intrusion,Electromagnetic surveys detected disseminated sulfides; magnetics mapped intrusion,Magmatic sulfide,"Main: Ni, Cu; By-product: Co, PGE","Pentlandite, chalcopyrite, pyrrhotite","Cu, Co, Pt, Pd","Disseminated, intrusion-hosted","240 Mt at 0.35% Ni, 0.49% Cu","Pyroxenite, peridotite",Lapland Greenstone Belt,Central Lapland Greenstone Belt,Magma chamber processes,Ni: 0.3-0.4%; Cu: 0.4-0.5%; Co: 0.01-0.02%,"Low-grade, high-tonnage; disseminated sulfides",Nickel
Talvivaara,Finland,Paleoproterozoic (2.0 Ga),Sedimentary-exhalative,ASTER/Landsat mapped gossans,IP and electromagnetic surveys mapped sulfide zones,Black shale,"Main: Ni; By-product: Co, Zn, Cu","Pyrite, pyrrhotite, pentlandite, sphalerite","Cu, Co, Zn, Mo","Stratiform, sheet-like","1,550 Mt at 0.23% Ni, 0.5% Zn",Black shales,Kainuu Schist Belt,Talvivaara Formation,Synsedimentary exhalative,Ni: 0.22-0.27%; Co: 0.015-0.025%; Zn: 0.5%,"Low-grade, high-tonnage black shale deposit",Nickel
Nova-Bollinger,Australia,Proterozoic (1.3 Ga),Magmatic,ASTER/Landsat mapped intrusive complex,Electromagnetic surveys detected massive sulfides; magnetics mapped intrusions,Magmatic sulfide,"Main: Ni, Cu; By-product: Co","Pentlandite, chalcopyrite, pyrrhotite","Cu, Co, Pt, Pd","Eye-shaped, massive to matrix","13.1 Mt at 2.1% Ni, 0.9% Cu",Mafic-ultramafic intrusion,Albany-Fraser Orogen,Fraser Zone,Magma conduit; sulfide segregation,Ni: 1.5-2.5%; Cu: 0.6-1.0%; Co: 0.04-0.06%,Eye-shaped intrusion; massive and disseminated sulfides,Nickel
Leinster,Australia,Archean (2.7 Ga),Magmatic,ASTER/Landsat mapped ultramafic sequence,Electromagnetic surveys detected massive sulfides; magnetics mapped ultramafics,Magmatic sulfide,"Main: Ni; By-product: Cu, Co","Pentlandite, pyrrhotite, chalcopyrite","Cu, Co, Pt, Pd",Multiple lenses at basal contact,12.4 Mt at 2.3% Ni,Komatiite,Yilgarn Craton,Agnew-Wiluna Belt,Flow dynamics; thermal erosion,Ni: 1.8-3.0%; Cu: 0.1-0.3%; Co: 0.04-0.06%,Komatiite-hosted; multiple flow channels,Nickel
Honeymoon Well,Australia,Archean (2.7 Ga),Magmatic,ASTER/Landsat mapped ultramafic sequence,Magnetic surveys mapped ultramafics; gravity defined intrusion,Magmatic sulfide,Main: Ni; By-product: Co,"Pentlandite, pyrrhotite, violarite","Cu, Co, Pt, Pd","Disseminated, sill-like",165 Mt at 0.67% Ni,Komatiite,Yilgarn Craton,Honeymoon Well Ultramafic Complex,Olivine cumulate zone,Ni: 0.6-0.8%; Co: 0.02-0.03%,"Low-grade, high-tonnage; disseminated sulfides",Nickel
Acoje,Philippines,"Cretaceous-Recent (90 Ma rocks, recent weathering)",Lateritic,ASTER/Landsat mapped laterite distribution,Magnetic surveys mapped ultramafic rocks,Ni-Co laterite,Main: Ni; Co-product: Co,"Serpentine, goethite, asbolane, lithiophorite","Co, Mn, Fe, Cr","Blanket-like, 5-15 m thick","50 Mt at 1.1% Ni, 0.09% Co",Weathered peridotite,Ophiolite,Laterite profile over ultramafics,Intense weathering; water table,Ni: 0.9-1.2%; Co: 0.08-0.1%,Tropical weathering of ophiolite complex,Nickel
Ramu,Papua New Guinea,"Tertiary-Recent (20 Ma rocks, recent weathering)",Lateritic,ASTER/Landsat mapped laterite distribution,Magnetic surveys mapped ultramafic rocks,Ni-Co laterite,Main: Ni; Co-product: Co,"Serpentine, goethite, asbolane, lithiophorite","Co, Mn, Fe, Cr","Blanket-like, 10-20 m thick","124 Mt at 1.0% Ni, 0.1% Co",Weathered peridotite,Ophiolite,Laterite profile over ultramafics,Intense weathering; water table,Ni: 0.9-1.3%; Co: 0.09-0.11%,Tropical weathering of ophiolite complex,Nickel
Weda Bay,Indonesia,"Tertiary-Recent (25 Ma rocks, recent weathering)",Lateritic,ASTER/Landsat mapped laterite distribution,Magnetic surveys mapped ultramafic rocks,Ni-Co laterite,Main: Ni; Co-product: Co,"Serpentine, goethite, asbolane, lithiophorite","Co, Mn, Fe, Cr","Blanket-like, 15-25 m thick","304 Mt at 1.28% Ni, 0.11% Co",Weathered peridotite,Ophiolite,Laterite profile over ultramafics,Intense weathering; water table,Ni: 1.2-1.8%; Co: 0.1-0.14%,Tropical weathering of ophiolite complex,Nickel
Kunashir,Russia,"Neogene-Recent (5-10 Ma rocks, recent weathering)",Lateritic,ASTER/Landsat mapped laterite distribution,Magnetic surveys mapped ultramafic rocks,Ni-Co laterite,Main: Ni; Co-product: Co,"Serpentine, goethite, asbolane, lithiophorite","Co, Mn, Fe, Cr","Blanket-like, 5-15 m thick","48 Mt at 0.89% Ni, 0.06% Co",Weathered peridotite,Island arc,Laterite profile over ultramafics,Intense weathering; water table,Ni: 0.8-1.0%; Co: 0.05-0.07%,Tropical weathering of ophiolite complex,Nickel
Onça Puma,Brazil,"Neoproterozoic (2.7 Ga rocks, Tertiary weathering)",Lateritic,ASTER/Landsat mapped laterite distribution,Magnetic surveys mapped ultramafic rocks,Ni-Co laterite,Main: Ni; Co-product: Co,"Serpentine, goethite, asbolane, lithiophorite","Co, Mn, Fe, Cr","Blanket-like, 20-30 m thick",72 Mt at 1.7% Ni,Weathered peridotite,São Francisco Craton,Laterite profile over ultramafics,Intense weathering; water table,Ni: 1.5-2.0%; Co: 0.05-0.07%,Tropical weathering of ultramafic complex,Nickel
Forrestania,Australia,Archean (2.9 Ga),Magmatic,ASTER/Landsat mapped ultramafic sequence,Electromagnetic surveys detected massive sulfides; magnetics mapped ultramafics,Magmatic sulfide,"Main: Ni; By-product: Cu, Co","Pentlandite, pyrrhotite, chalcopyrite","Cu, Co, Pt, Pd",Multiple lenses at basal contact,2.4 Mt at 4.9% Ni,Komatiite,Yilgarn Craton,Forrestania greenstone belt,Flow dynamics; thermal erosion,Ni: 4.0-6.0%; Cu: 0.2-0.4%; Co: 0.1-0.15%,High-grade komatiite-hosted; multiple flow channels,Nickel
Yakabindie,Australia,Archean (2.7 Ga),Magmatic,ASTER/Landsat mapped ultramafic sequence,Magnetic surveys mapped ultramafics; gravity defined intrusion,Magmatic sulfide,Main: Ni; By-product: Co,"Pentlandite, pyrrhotite, violarite","Cu, Co, Pt, Pd","Disseminated, sill-like",180 Mt at 0.58% Ni,Komatiite,Yilgarn Craton,Agnew-Wiluna Belt,Olivine cumulate zone,Ni: 0.5-0.7%; Co: 0.02-0.03%,"Low-grade, high-tonnage; disseminated sulfides",Nickel
Perseverance,Australia,Archean (2.7 Ga),Magmatic,ASTER/Landsat mapped ultramafic sequence,Electromagnetic surveys detected massive sulfides; magnetics mapped ultramafics,Magmatic sulfide,"Main: Ni; By-product: Cu, Co","Pentlandite, pyrrhotite, chalcopyrite","Cu, Co, Pt, Pd",Multiple lenses at basal contact,8.7 Mt at 2.1% Ni,Komatiite,Yilgarn Craton,Agnew-Wiluna Belt,Flow dynamics; thermal erosion,Ni: 1.8-3.0%; Cu: 0.1-0.3%; Co: 0.04-0.06%,Komatiite-hosted; multiple flow channels,Nickel
Nokomis,USA,Mesoproterozoic (1.1 Ga),Magmatic,ASTER/Landsat mapped intrusive complex,Electromagnetic surveys detected disseminated sulfides; magnetics mapped intrusions,Magmatic sulfide,"Main: Ni, Cu; By-product: Co, PGE","Pentlandite, chalcopyrite, pyrrhotite","Cu, Co, Pt, Pd","Stratiform, disseminated","530 Mt at 0.2% Ni, 0.6% Cu","Gabbro, troctolite",Midcontinent Rift,Duluth Complex,Magma chamber processes,Ni: 0.15-0.25%; Cu: 0.5-0.7%; Co: 0.01-0.02%,"Low-grade, high-tonnage; disseminated sulfides",Nickel
Decar,Canada,Mesozoic (185 Ma),Magmatic,ASTER/Landsat mapped ultramafic rocks,Magnetic surveys mapped awaruite-rich zones,Awaruite,"Main: Ni; By-product: Co, Fe","Awaruite, magnetite","Fe, Cr","Disseminated, intrusion-hosted","1,156 Mt at 0.12% Ni",Serpentinized peridotite,Intermontane Belt,Cache Creek Terrane,Serpentinization of ultramafics,Ni: 0.11-0.13%; Co: 0.008-0.012%,"Low-grade, high-tonnage; awaruite mineralization",Nickel
Ambatovy,Madagascar,"Cretaceous-Recent (90 Ma rocks, recent weathering)",Lateritic,ASTER/Landsat mapped laterite distribution,Magnetic surveys mapped ultramafic rocks,Ni-Co laterite,Main: Ni; Co-product: Co,"Serpentine, goethite, asbolane, lithiophorite","Co, Mn, Fe, Cr","Blanket-like, 20-30 m thick","120 Mt at 1.1% Ni, 0.1% Co",Weathered peridotite,Ophiolite,Laterite profile over ultramafics,Intense weathering; water table,Ni: 1.0-1.3%; Co: 0.09-0.12%,Tropical weathering of ophiolite complex,Nickel
Tamarack,USA,Mesoproterozoic (1.1 Ga),Magmatic,ASTER/Landsat mapped intrusion,Electromagnetic surveys detected massive sulfides; magnetics mapped intrusions,Magmatic sulfide,"Main: Ni, Cu; By-product: Co, PGE","Pentlandite, chalcopyrite, pyrrhotite","Cu, Co, Pt, Pd","Pipe-like, 500 m depth","8.6 Mt at 1.9% Ni, 1.02% Cu","Gabbro, peridotite",Midcontinent Rift,Duluth Complex,Magma conduit; sulfide segregation,Ni: 1.5-2.5%; Cu: 0.8-1.2%; Co: 0.05-0.07%,Conduit-style magmatic deposit,Nickel
Kalgoorlie Nickel,Australia,"Archean-Recent (2.7 Ga rocks, Tertiary weathering)",Lateritic,ASTER/Landsat mapped laterite distribution,Magnetic surveys mapped ultramafic rocks,Ni-Co laterite,Main: Ni; Co-product: Co,"Serpentine, goethite, asbolane, lithiophorite","Co, Mn, Fe, Cr","Blanket-like, 1-20 m thick","727 Mt at 0.7% Ni, 0.04% Co",Weathered ultramafics,Yilgarn Craton,Laterite profile over greenstone belt,Intense weathering; water table,Ni: 0.6-0.9%; Co: 0.03-0.05%,Lateritic profile; variable thickness and grade,Nickel
Lynn Lake,Canada,Paleoproterozoic (1.85 Ga),Magmatic,ASTER/Landsat mapped intrusion,Electromagnetic surveys detected massive sulfides; magnetics mapped intrusions,Magmatic sulfide,"Main: Ni, Cu; By-product: Co","Pentlandite, chalcopyrite, pyrrhotite","Cu, Co, Pt, Pd","Multiple lenses, pipe-like",Historical producer,"Gabbro, norite",Trans-Hudson Orogen,Lynn Lake greenstone belt,Magma conduit; sulfide segregation,Ni: 0.7-1.2%; Cu: 0.3-0.5%; Co: 0.02-0.04%,Historic Ni-Cu mine; multiple intrusions,Nickel
NorthMet,USA,Mesoproterozoic (1.1 Ga),Magmatic,ASTER/Landsat mapped intrusive complex,Electromagnetic surveys detected disseminated sulfides; magnetics mapped intrusions,Magmatic sulfide,"Main: Cu, Ni; By-product: Co, PGE","Chalcopyrite, pentlandite, pyrrhotite","Cu, Co, Pt, Pd","Stratiform, disseminated","649 Mt at 0.074% Ni, 0.24% Cu","Gabbro, troctolite",Midcontinent Rift,Duluth Complex,Magma chamber processes,Ni: 0.07-0.09%; Cu: 0.2-0.3%; Co: 0.005-0.01%,"Low-grade, high-tonnage; disseminated sulfides",Nickel
Savannah,Australia,Paleoproterozoic (1.84 Ga),Magmatic,ASTER/Landsat mapped intrusion,Electromagnetic surveys detected massive sulfides; magnetics mapped intrusions,Magmatic sulfide,"Main: Ni, Cu; By-product: Co, PGE","Pentlandite, chalcopyrite, pyrrhotite","Cu, Co, Pt, Pd","Massive to disseminated, basal accumulation","10.5 Mt at 1.2% Ni, 0.6% Cu",Gabbro-norite,Halls Creek Orogen,Sally Malay intrusion,Magma conduit; sulfide segregation,Ni: 1.0-1.5%; Cu: 0.6-0.8%; Co: 0.03-0.05%,Magmatic sulfide deposit in mafic intrusion,Nickel
Sakatti,Finland,Paleoproterozoic (2.05 Ga),Magmatic,ASTER/Landsat mapped glacial cover,Electromagnetic surveys detected massive sulfides; magnetics mapped intrusion,Magmatic sulfide,"Main: Ni, Cu; By-product: Co, PGE","Pentlandite, chalcopyrite, pyrrhotite","Cu, Co, Pt, Pd","Massive to disseminated, multiple lenses","44 Mt at 1.9% Cu, 0.96% Ni",Ultramafic intrusion,Lapland Greenstone Belt,Central Lapland Greenstone Belt,Magma conduit; sulfide segregation,Ni: 0.8-1.2%; Cu: 1.5-2.5%; Co: 0.04-0.06%,Covered by glacial till; high-grade massive sulfides,Nickel
Flying Fox,Australia,Archean (2.9 Ga),Magmatic,ASTER/Landsat mapped ultramafic sequence,Electromagnetic surveys detected massive sulfides; magnetics mapped ultramafics,Magmatic sulfide,"Main: Ni; By-product: Cu, Co","Pentlandite, pyrrhotite, chalcopyrite","Cu, Co, Pt, Pd",Multiple lenses at basal contact,2.7 Mt at 4.0% Ni,Komatiite,Yilgarn Craton,Forrestania greenstone belt,Flow dynamics; structural control,Ni: 3.5-5.0%; Cu: 0.2-0.4%; Co: 0.08-0.12%,High-grade komatiite-hosted; structurally controlled,Nickel
Spotted Quoll,Australia,Archean (2.9 Ga),Magmatic,ASTER/Landsat mapped ultramafic sequence,Electromagnetic surveys detected massive sulfides; magnetics mapped ultramafics,Magmatic sulfide,"Main: Ni; By-product: Cu, Co","Pentlandite, pyrrhotite, chalcopyrite","Cu, Co, Pt, Pd",Multiple lenses at basal contact,2.5 Mt at 4.5% Ni,Komatiite,Yilgarn Craton,Forrestania greenstone belt,Flow dynamics; structural control,Ni: 4.0-5.5%; Cu: 0.2-0.4%; Co: 0.1-0.14%,High-grade komatiite-hosted; structurally controlled,Nickel
Nkomati,South Africa,Paleoproterozoic (2.0 Ga),Magmatic,ASTER/Landsat mapped intrusion,Electromagnetic surveys detected massive sulfides; magnetics mapped intrusions,Magmatic sulfide,"Main: Ni, Cu; By-product: Co, PGE","Pentlandite, chalcopyrite, pyrrhotite","Cu, Co, Pt, Pd","Multiple lenses, disseminated to massive","159 Mt at 0.35% Ni, 0.13% Cu","Pyroxenite, harzburgite",Bushveld Complex,Uitkomst Complex,Magma conduit; sulfide segregation,Ni: 0.3-0.5%; Cu: 0.1-0.2%; Co: 0.01-0.03%,Mafic-ultramafic intrusion related to Bushveld,Nickel
