Deposit Name,Location,Age of Deposit,Ore Genesis,Remote Sensing Data & Results,Geophysical Data,Type of Deposit,Main/By-Product/Co-Product,Mineralogy,Pathfinder Elements,Geometry of Ore Body,Ore Body Characterization,Host Rocks,Tectonic Settings,Stratigraphy,Control of Mineralization,Geochemical Results,Geological Features,Mineral
River Valley,Canada,Paleoproterozoic (2.47 Ga),Magmatic,ASTER/Landsat mapped mafic intrusion,Magnetic and gravity surveys outlined intrusion geometry,Layered intrusion,"Main: PGE; Co-product: Ni, Cu","Sperrylite, kotulskite, merenskyite, electrum","Ni, Cu, Co, Au","Stratiform, contact-type",4.6 Moz PGE at 0.9 g/t Pd+Pt,"Gabbro, norite",Superior Province,East Bull Lake Suite,Magma-country rock interaction,Pd: 0.6-0.8 g/t; Pt: 0.2-0.3 g/t; Au: 0.05-0.1 g/t,Contact-type PGE mineralization,Platinum
Raglan,Canada,Paleoproterozoic (1.89 Ga),Magmatic,ASTER/Landsat mapped ultramafic belt,Electromagnetic surveys detected massive sulfides; magnetics mapped ultramafics,Magmatic sulfide,"Main: Ni, Cu; By-product: PGE","Sperrylite, kotulskite, pentlandite, chalcopyrite","Ni, Cu, Co, PGE",Multiple lenses along 55 km trend,By-product resource,Komatiite,Cape Smith Belt,Raglan Formation,Flow dynamics; thermal erosion,Pd: 1.0-2.0 g/t; Pt: 0.5-1.0 g/t; Rh: 0.1-0.2 g/t; Au: 0.1-0.2 g/t,Komatiite-hosted Ni-Cu deposit; PGE by-product,Platinum
Kemi,Finland,Paleoproterozoic (2.44 Ga),Magmatic,ASTER/Landsat mapped mafic intrusion,Magnetic surveys detected chromite-rich zones; gravity outlined intrusion,Layered intrusion,Main: Cr; By-product: PGE,"Chromite, laurite, cooperite","Cr, Ni, PGE","Stratiform, laterally extensive",By-product resource,"Peridotite, pyroxenite",Fennoscandian Shield,Kemi Intrusion,Magmatic differentiation; chromite segregation,Pt: 0.1-0.3 g/t; Pd: 0.1-0.2 g/t; Rh: 0.01-0.05 g/t,World's largest chromite mine; trace PGE in chromite,Platinum
Hartley,Zimbabwe,Neoarchean (2.58 Ga),Magmatic,ASTER/Landsat mapped linear intrusion,Magnetic and gravity surveys outlined dyke geometry,Layered intrusion,"Main: PGE; Co-product: Ni, Cu","Cooperite, braggite, sperrylite","Ni, Cu, Cr, Au","Stratiform, linear",Part of Great Dyke,"Pyroxenite, gabbro, norite",Zimbabwe Craton,Great Dyke Complex,Magmatic differentiation; sulfide segregation,Pt: 1.5-2.5 g/t; Pd: 1.2-2.0 g/t; Rh: 0.2-0.3 g/t; Au: 0.1-0.2 g/t,Part of Great Dyke; Main Sulphide Zone,Platinum
Mimosa,Zimbabwe,Neoarchean (2.58 Ga),Magmatic,ASTER/Landsat mapped linear intrusion,Magnetic and gravity surveys outlined dyke geometry,Layered intrusion,"Main: PGE; Co-product: Ni, Cu","Cooperite, braggite, sperrylite","Ni, Cu, Cr, Au","Stratiform, linear",Part of Great Dyke,"Pyroxenite, gabbro, norite",Zimbabwe Craton,Great Dyke Complex,Magmatic differentiation; sulfide segregation,Pt: 1.5-2.5 g/t; Pd: 1.2-2.0 g/t; Rh: 0.2-0.3 g/t; Au: 0.1-0.2 g/t,Part of Great Dyke; Main Sulphide Zone,Platinum
Unki,Zimbabwe,Neoarchean (2.58 Ga),Magmatic,ASTER/Landsat mapped linear intrusion,Magnetic and gravity surveys outlined dyke geometry,Layered intrusion,"Main: PGE; Co-product: Ni, Cu","Cooperite, braggite, sperrylite","Ni, Cu, Cr, Au","Stratiform, linear",Part of Great Dyke,"Pyroxenite, gabbro, norite",Zimbabwe Craton,Great Dyke Complex,Magmatic differentiation; sulfide segregation,Pt: 1.5-2.5 g/t; Pd: 1.2-2.0 g/t; Rh: 0.2-0.3 g/t; Au: 0.1-0.2 g/t,Part of Great Dyke; Main Sulphide Zone,Platinum
Impala,South Africa,Paleoproterozoic (2.05 Ga),Magmatic,ASTER/Landsat mapped layered intrusion,Magnetic and gravity surveys outlined intrusion geometry,Layered intrusion,"Main: PGE, Cr; Co-product: Ni, Cu","Sperrylite, braggite, cooperite, laurite, chromite","Ni, Cu, Cr, Au","Stratiform, laterally extensive",Part of Bushveld Complex,"Pyroxenite, norite, anorthosite",Craton interior,Rustenburg Layered Suite,Magmatic differentiation; sulfide segregation,Pt: 2-4 g/t; Pd: 1-3 g/t; Rh: 0.2-0.4 g/t; Au: 0.2-0.4 g/t,Part of Bushveld Complex; Merensky Reef and UG2 Chromitite,Platinum
Rustenburg,South Africa,Paleoproterozoic (2.05 Ga),Magmatic,ASTER/Landsat mapped layered intrusion,Magnetic and gravity surveys outlined intrusion geometry,Layered intrusion,"Main: PGE, Cr; Co-product: Ni, Cu","Sperrylite, braggite, cooperite, laurite, chromite","Ni, Cu, Cr, Au","Stratiform, laterally extensive",Part of Bushveld Complex,"Pyroxenite, norite, anorthosite",Craton interior,Rustenburg Layered Suite,Magmatic differentiation; sulfide segregation,Pt: 2-4 g/t; Pd: 1-3 g/t; Rh: 0.2-0.4 g/t; Au: 0.2-0.4 g/t,Part of Bushveld Complex; Merensky Reef and UG2 Chromitite,Platinum
Northam,South Africa,Paleoproterozoic (2.05 Ga),Magmatic,ASTER/Landsat mapped layered intrusion,Magnetic and gravity surveys outlined intrusion geometry,Layered intrusion,"Main: PGE, Cr; Co-product: Ni, Cu","Sperrylite, braggite, cooperite, laurite, chromite","Ni, Cu, Cr, Au","Stratiform, laterally extensive",Part of Bushveld Complex,"Pyroxenite, norite, anorthosite",Craton interior,Rustenburg Layered Suite,Magmatic differentiation; sulfide segregation,Pt: 2-4 g/t; Pd: 1-3 g/t; Rh: 0.2-0.4 g/t; Au: 0.2-0.4 g/t,Part of Bushveld Complex; Merensky Reef and UG2 Chromitite,Platinum
Monchegorsk,Russia,Paleoproterozoic (2.5 Ga),Magmatic,ASTER/Landsat mapped layered intrusion,Magnetic and gravity surveys outlined intrusion geometry,Layered intrusion,"Main: PGE, Ni, Cu","Sperrylite, kotulskite, moncheite, pentlandite","Ni, Cu, Co, Au","Stratiform, reef-like",3.6 Moz PGE at 1.5 g/t PGE,"Pyroxenite, peridotite, norite",Kola Peninsula,Monchegorsk Complex,Magmatic differentiation; sulfide segregation,Pd: 1.0-1.5 g/t; Pt: 0.3-0.5 g/t; Rh: 0.05-0.1 g/t; Au: 0.1-0.2 g/t,PGE-rich reefs in layered intrusion,Platinum
Marathon,Canada,Mesoproterozoic (1.1 Ga),Magmatic,ASTER/Landsat mapped mafic intrusion,Magnetic and gravity surveys outlined intrusion geometry,Magmatic sulfide,"Main: PGE, Cu; Co-product: Ni","Sperrylite, kotulskite, merenskyite, chalcopyrite","Cu, Ni, Co, Au","Disseminated, contact-type",3.9 Moz PGE at 0.8 g/t Pd+Pt,Gabbro,Midcontinent Rift,Coldwell Complex,Magma-country rock interaction,Pd: 0.6-0.8 g/t; Pt: 0.2-0.3 g/t; Au: 0.07-0.1 g/t; Cu: 0.2-0.3%,Contact-type PGE mineralization; Cu-rich,Platinum
Sudbury,Canada,Paleoproterozoic (1.85 Ga),Magmatic-impact,ASTER/Landsat mapped impact structure,Gravity surveys outlined basin; magnetic data mapped intrusions,Magmatic sulfide,"Main: Ni, Cu; By-product: PGE","Sperrylite, michenerite, froodite, pentlandite","Cu, Ni, Co, Au",Contact-type to offset dykes,By-product resource,"Norite, gabbro, granophyre",Impact structure,Sudbury Igneous Complex,Impact melt; sulfide segregation,Pd: 0.3-0.6 g/t; Pt: 0.2-0.4 g/t; Rh: 0.02-0.05 g/t; Au: 0.1-0.3 g/t,Meteorite impact origin; PGE by-product,Platinum
Jinchuan,China,Neoproterozoic (825 Ma),Magmatic,ASTER/Landsat mapped intrusion and gossans,Gravity and magnetic surveys mapped intrusion geometry,Magmatic sulfide,"Main: Ni, Cu; By-product: PGE","Sperrylite, moncheite, pentlandite","Cu, Ni, Co, Au","Dyke-like, 6.5 km length",By-product resource,Ultramafic intrusion,Intraplate rift,Longshoushan Group,Magma conduit; sulfide segregation,Pd: 0.1-0.3 g/t; Pt: 0.1-0.2 g/t; Rh: 0.01-0.03 g/t; Au: 0.05-0.1 g/t,PGE by-product from Ni-Cu mining,Platinum
Portimo,Finland,Paleoproterozoic (2.44 Ga),Magmatic,ASTER/Landsat mapped layered intrusion,Magnetic and gravity surveys outlined intrusion geometry,Layered intrusion,"Main: PGE; Co-product: Ni, Cu","Braggite, kotulskite, michenerite","Ni, Cu, Cr, Au","Stratiform, reef-like",3.0 Moz PGE at 3.5 g/t PGE,"Pyroxenite, gabbro, anorthosite",Fennoscandian Shield,Portimo Complex,Magmatic differentiation; sulfide segregation,Pd: 2.0-3.0 g/t; Pt: 0.7-1.0 g/t; Rh: 0.1-0.2 g/t; Au: 0.2-0.3 g/t,Multiple PGE reefs; Siika-Kämä and Konttijarvi deposits,Platinum
Konttijärvi,Finland,Paleoproterozoic (2.44 Ga),Magmatic,ASTER/Landsat mapped layered intrusion,Magnetic and gravity surveys outlined intrusion geometry,Layered intrusion,"Main: PGE; Co-product: Ni, Cu","Braggite, kotulskite, michenerite","Ni, Cu, Cr, Au","Stratiform, reef-like",Part of Portimo Complex,"Pyroxenite, gabbro, anorthosite",Fennoscandian Shield,Portimo Complex,Magmatic differentiation; sulfide segregation,Pd: 2.0-3.0 g/t; Pt: 0.7-1.0 g/t; Rh: 0.1-0.2 g/t; Au: 0.2-0.3 g/t,Part of Portimo Complex; marginal reef,Platinum
East Bull Lake,Canada,Paleoproterozoic (2.47 Ga),Magmatic,ASTER/Landsat mapped mafic intrusion,Magnetic and gravity surveys outlined intrusion geometry,Layered intrusion,"Main: PGE; Co-product: Ni, Cu","Kotulskite, michenerite, sperrylite","Ni, Cu, Co, Au","Stratiform, contact-type",1.3 Moz PGE at 1.5 g/t Pd+Pt,"Gabbro, norite",Superior Province,East Bull Lake Suite,Magma-country rock interaction,Pd: 0.8-1.2 g/t; Pt: 0.4-0.6 g/t; Au: 0.05-0.1 g/t,Contact-type PGE mineralization,Platinum
Stella,South Africa,Neoarchean (2.7 Ga),Magmatic,ASTER/Landsat mapped layered intrusion,Magnetic and gravity surveys outlined intrusion geometry,Layered intrusion,"Main: PGE; Co-product: Ni, Cu","Sperrylite, cooperite, braggite","Ni, Cu, Cr, Au","Stratiform, reef-like",Exploration target,"Pyroxenite, gabbro, anorthosite",Kaapvaal Craton,Stella Layered Intrusion,Magmatic differentiation; sulfide segregation,Pt: 1.0-2.0 g/t; Pd: 0.8-1.5 g/t; Rh: 0.1-0.2 g/t; Au: 0.1-0.2 g/t,Archaean layered intrusion; PGE reefs,Platinum
Uitkomst,South Africa,Paleoproterozoic (2.05 Ga),Magmatic,ASTER/Landsat mapped satellite intrusion,Magnetic and gravity surveys outlined intrusion geometry,Magmatic sulfide,"Main: Ni, Cu; By-product: PGE","Sperrylite, braggite, pentlandite, chalcopyrite","Ni, Cu, Co, PGE",Tubular intrusion,By-product resource,"Harzburgite, pyroxenite",Bushveld-related,Transvaal Supergroup,Magma conduit; sulfide segregation,Pd: 0.3-0.6 g/t; Pt: 0.2-0.4 g/t; Rh: 0.03-0.05 g/t; Au: 0.05-0.1 g/t,Satellite intrusion to Bushveld; Ni-Cu dominant,Platinum
Eagle's Nest,Canada,Neoarchean (2.7 Ga),Magmatic,ASTER/Landsat mapped ultramafic intrusion,Electromagnetic surveys detected massive sulfides; magnetics mapped intrusions,Magmatic sulfide,"Main: Ni, Cu; By-product: PGE","Sperrylite, kotulskite, pentlandite, chalcopyrite","Ni, Cu, Co, PGE","Conduit-type, massive to disseminated",By-product resource,"Peridotite, pyroxenite",Superior Province,Ring of Fire intrusion,Magma conduit; sulfide segregation,Pd: 0.9-1.2 g/t; Pt: 0.3-0.5 g/t; Rh: 0.05-0.1 g/t; Au: 0.1-0.2 g/t,Conduit-style Ni-Cu deposit; PGE by-product,Platinum
Wellgreen,Canada,Triassic (232 Ma),Magmatic,ASTER/Landsat mapped ultramafic intrusion,Magnetic and electromagnetic surveys outlined intrusion,Magmatic sulfide,"Main: Ni, Cu, PGE","Sperrylite, moncheite, kotulskite, stibiopalladinite","Ni, Cu, Co, Au",Sill-like intrusion,6.9 Moz PGE at 0.9 g/t Pd+Pt,"Peridotite, pyroxenite",Wrangellia Terrane,Quill Creek Complex,Magma-country rock interaction,Pd: 0.5-0.7 g/t; Pt: 0.3-0.4 g/t; Au: 0.2-0.3 g/t; Ni: 0.3-0.4%; Cu: 0.3-0.4%,PGE-Ni-Cu deposit in Alaskan-type complex,Platinum
Ahmavaara,Finland,Paleoproterozoic (2.44 Ga),Magmatic,ASTER/Landsat mapped layered intrusion,Magnetic and gravity surveys outlined intrusion geometry,Layered intrusion,"Main: PGE; Co-product: Ni, Cu","Kotulskite, braggite, moncheite","Ni, Cu, Cr, Au","Stratiform, reef-like",5.4 Moz PGE at 2.0 g/t PGE,"Pyroxenite, gabbro",Fennoscandian Shield,Koillismaa Complex,Magmatic differentiation; sulfide segregation,Pd: 1.2-1.5 g/t; Pt: 0.4-0.6 g/t; Au: 0.2-0.3 g/t,PGE reef in layered intrusion,Platinum
Suhanko,Finland,Paleoproterozoic (2.44 Ga),Magmatic,ASTER/Landsat mapped layered intrusion,Magnetic and gravity surveys outlined intrusion geometry,Layered intrusion,"Main: PGE; Co-product: Ni, Cu","Kotulskite, braggite, merenskyite","Ni, Cu, Cr, Au","Stratiform, reef-like",5.6 Moz PGE at 1.5 g/t PGE,"Pyroxenite, gabbro",Fennoscandian Shield,Portimo Complex,Magmatic differentiation; sulfide segregation,Pd: 1.0-1.2 g/t; Pt: 0.3-0.4 g/t; Au: 0.2-0.3 g/t,Part of Portimo Complex; reef-type deposit,Platinum
Mogalakwena,South Africa,Paleoproterozoic (2.05 Ga),Magmatic,ASTER/Landsat mapped layered intrusion margin,Magnetic and gravity surveys outlined intrusion geometry,Layered intrusion,"Main: PGE, Ni, Cu","Sperrylite, cooperite, braggite, pentlandite","Ni, Cu, Co, Au",Thick zones along intrusion margin,Part of Platreef,"Pyroxenite, norite, gabbro",Craton interior,Rustenburg Layered Suite,Magma-country rock interaction,Pt: 0.5-1.0 g/t; Pd: 0.5-1.0 g/t; Rh: 0.05-0.1 g/t; Au: 0.1-0.2 g/t,Northern limb of Bushveld; part of Platreef,Platinum
Aguablanca,Spain,Variscan (341 Ma),Magmatic,ASTER/Landsat mapped mafic intrusion,Magnetic and gravity surveys outlined intrusion; EM detected sulfides,Magmatic sulfide,"Main: Ni, Cu; By-product: PGE","Sperrylite, michenerite, pentlandite, chalcopyrite","Ni, Cu, Co, Au","Breccia pipe, stockwork",By-product resource,"Gabbro, diorite",Ossa-Morena Zone,Aguablanca Stock,Magma-country rock interaction; brecciation,Pd: 0.2-0.4 g/t; Pt: 0.1-0.2 g/t; Au: 0.05-0.1 g/t,Unusual Ni-Cu-PGE deposit in magmatic breccia,Platinum
Munali,Zambia,Paleoproterozoic (2.0 Ga),Magmatic,ASTER/Landsat mapped mafic intrusion,Electromagnetic surveys detected massive sulfides; magnetics mapped intrusions,Magmatic sulfide,"Main: Ni; By-product: Cu, PGE","Sperrylite, merenskyite, pentlandite, chalcopyrite","Cu, Ni, Co, Au","Massive to disseminated, multiple lenses",By-product resource,Gabbronorite,Southern Irumide Belt,Enterprise Complex,Magma conduit; sulfide segregation,Pd: 0.2-0.3 g/t; Pt: 0.1-0.2 g/t; Au: 0.05-0.1 g/t,Ni-Cu deposit; PGE by-product,Platinum
Sopcheozero,Russia,Paleoproterozoic (2.5 Ga),Magmatic,ASTER/Landsat mapped layered intrusion,Magnetic and gravity surveys outlined intrusion geometry,Layered intrusion,Main: Cr; By-product: PGE,"Laurite, irarsite, sperrylite, chromite","Cr, Ni, PGE","Stratiform, layered",By-product resource,"Dunite, harzburgite",Kola Peninsula,Monchegorsk Complex,Magmatic differentiation; chromite segregation,Pt: 0.2-0.4 g/t; Pd: 0.1-0.2 g/t; Rh: 0.05-0.1 g/t,Chromite deposit with PGE enrichment,Platinum
Jinbaoshan,China,Permian (260 Ma),Magmatic,ASTER/Landsat mapped mafic intrusion,Magnetic and gravity surveys outlined intrusion geometry,Layered intrusion,"Main: PGE; Co-product: Ni, Cu","Sperrylite, braggite, cooperite, laurite","Ni, Cu, Cr, Au","Stratiform, reef-like",40 t PGE metal,"Wehrlite, clinopyroxenite",Emeishan LIP,Jinbaoshan Complex,Magmatic differentiation; sulfide segregation,Pt: 1.0-3.0 g/t; Pd: 0.5-1.0 g/t; Rh: 0.05-0.1 g/t; Au: 0.1-0.2 g/t,PGE reef in Emeishan large igneous province,Platinum
Platiniferous Gold,Colombia,Mesozoic-Cenozoic (50-150 Ma),Alluvial,ASTER/Landsat mapped drainage patterns,Ground magnetic surveys mapped buried channels,Placer,"Main: Au, PGE","Native Pt, native Pd, osmiridium, gold","Au, Os, Ir",Alluvial channel deposits,Historic producer,Alluvium,Northern Andes,Modern placers,Fluvial concentration of heavy minerals,Pt: 10-30 g/t; Pd: 1-5 g/t; Os+Ir: 1-5 g/t; Au: 10-50 g/t,Alluvial deposits derived from Andes ultramafics,Platinum
Goodnews Bay,USA,Quaternary (Recent),Alluvial,ASTER/Landsat mapped drainage patterns,Ground magnetic surveys mapped buried channels,Placer,"Main: PGE, Au","Native Pt, iridosmium, gold","Au, Os, Ir",Alluvial channel and beach deposits,Historic producer,Alluvium,Alaska,Modern placers,Fluvial and marine concentration,Pt: 10-50 g/t; Os+Ir: 5-10 g/t; Au: 5-20 g/t,Alluvial deposits derived from Alaskan-type ultramafics,Platinum
